"State/Union Territory",City
"Andaman and Nicobar"
"Andaman and Nicobar","North and Middle Andaman"
"Andaman and Nicobar","South Andaman"
"Andaman and Nicobar",Nicobar
"Andhra Pradesh"
"Andhra Pradesh",Adilabad
"Andhra Pradesh",Anantapur
"Andhra Pradesh",Chittoor
"Andhra Pradesh","East Godavari"
"Andhra Pradesh",Guntur
"Andhra Pradesh",Hyderabad
"Andhra Pradesh",Kadapa
"Andhra Pradesh",Karimnagar
"Andhra Pradesh",Khammam
"Andhra Pradesh",Krishna
"Andhra Pradesh",Kurnool
"Andhra Pradesh",Mahbubnagar
"Andhra Pradesh",Medak
"Andhra Pradesh",Nalgonda
"Andhra Pradesh",Nellore
"Andhra Pradesh",Nizamabad
"Andhra Pradesh",Prakasam
"Andhra Pradesh",Rangareddi
"Andhra Pradesh",Srikakulam
"Andhra Pradesh",Vishakhapatnam
"Andhra Pradesh",Vizianagaram
"Andhra Pradesh",Warangal
"Andhra Pradesh","West Godavari"
"Arunachal Pradesh"
"Arunachal Pradesh",Anjaw
"Arunachal Pradesh",Changlang
"Arunachal Pradesh","East Kameng"
"Arunachal Pradesh",Lohit
"Arunachal Pradesh","Lower Subansiri"
"Arunachal Pradesh","Papum Pare"
"Arunachal Pradesh",Tirap
"Arunachal Pradesh","Dibang Valley"
"Arunachal Pradesh","Upper Subansiri"
"Arunachal Pradesh","West Kameng"
Assam
Assam,Barpeta
Assam,Bongaigaon
Assam,Cachar
Assam,Darrang
Assam,Dhemaji
Assam,Dhubri
Assam,Dibrugarh
Assam,Goalpara
Assam,Golaghat
Assam,Hailakandi
Assam,Jorhat
Assam,"Karbi Anglong"
Assam,Karimganj
Assam,Kokrajhar
Assam,Lakhimpur
Assam,Marigaon
Assam,Nagaon
Assam,Nalbari
Assam,"North Cachar Hills"
Assam,Sibsagar
Assam,Sonitpur
Assam,Tinsukia
Bihar
Bihar,Araria
Bihar,Aurangabad
Bihar,Banka
Bihar,Begusarai
Bihar,Bhagalpur
Bihar,Bhojpur
Bihar,Buxar
Bihar,Darbhanga
Bihar,"Purba Champaran"
Bihar,Gaya
Bihar,Gopalganj
Bihar,Jamui
Bihar,Jehanabad
Bihar,Khagaria
Bihar,Kishanganj
Bihar,Kaimur
Bihar,Katihar
Bihar,Lakhisarai
Bihar,Madhubani
Bihar,Munger
Bihar,Madhepura
Bihar,Muzaffarpur
Bihar,Nalanda
Bihar,Nawada
Bihar,Patna
Bihar,Purnia
Bihar,Rohtas
Bihar,Saharsa
Bihar,Samastipur
Bihar,Sheohar
Bihar,Sheikhpura
Bihar,Saran
Bihar,Sitamarhi
Bihar,Supaul
Bihar,Siwan
Bihar,Vaishali
Bihar,"Pashchim Champaran"
